DATE,TEMPERATURE(F)
2022-01-01,19
2022-01-02,25
2022-01-03,32
2022-01-04,34
2022-01-05,37
2022-01-06,43
2022-01-07,48
2022-01-08,36
2022-01-09,34
2022-01-10,34
2022-01-11,34
2022-01-12,39
2022-01-13,41
2022-01-14,34
2022-01-15,34
2022-01-16,36
2022-01-17,34
2022-01-18,37
2022-01-19,34
2022-01-20,34
2022-01-21,34
2022-01-22,34
2022-01-23,32
2022-01-24,36
2022-01-25,34
2022-01-26,34
2022-01-27,34
2022-01-28,34
2022-01-29,36
2022-01-30,37
2022-01-31,37
2022-02-01,30
2022-02-02,27
2022-02-03,28
2022-02-04,30
2022-02-05,37
2022-02-06,36
2022-02-07,41
2022-02-08,45
2022-02-09,43
2022-02-10,45
2022-02-11,46
2022-02-12,46
2022-02-13,52
2022-02-14,54
2022-02-15,45
2022-02-16,36
2022-02-17,39
2022-02-18,43
2022-02-19,50
2022-02-20,52
2022-02-21,34
2022-02-22,32
2022-02-23,23
2022-02-24,28
2022-02-25,27
2022-02-26,28
2022-02-27,34
2022-02-28,41
2022-03-01,46
2022-03-02,54
2022-03-03,57
2022-03-04,50
2022-03-05,41
2022-03-06,34
2022-03-07,34
2022-03-08,36
2022-03-09,36
2022-03-10,30
2022-03-11,36
2022-03-12,48
2022-03-13,30
2022-03-14,41
2022-03-15,50
2022-03-16,46
2022-03-17,41
2022-03-18,46
2022-03-19,52
2022-03-20,43
2022-03-21,36
2022-03-22,43
2022-03-23,46
2022-03-24,54
2022-03-25,59
2022-03-26,64
2022-03-27,68
2022-03-28,63
2022-03-29,52
2022-03-30,55
2022-03-31,46
